event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2018-10-03T08:15:00-04:00,United States,ADP Employment Change,adp employment change,SEP,230K,168K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T09:45:00-04:00,United States,Markit Composite PMI Final,composite pmi,SEP,53.9,54.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T09:45:00-04:00,United States,Markit Services PMI Final,services pmi,SEP,53.5,54.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:00:00-04:00,United States,ISM Non-Manufacturing Business Activity,ism non manufacturing business activity,SEP,65.2,60.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:00:00-04:00,United States,ISM Non-Manufacturing Employment,ism non manufacturing employment,SEP,62.4,56.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:00:00-04:00,United States,ISM Non-Manufacturing New Orders,ism non manufacturing new orders,SEP,61.6,60.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,SEP,61.6,58.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:00:00-04:00,United States,ISM Non-Manufacturing Prices,ism non manufacturing prices,SEP,64.2,62.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:30:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,SEP/28,7.975M,1.852M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T10:30:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,SEP/28,-0.459M,1.53M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T14:00:00-04:00,United States,Fed Brainard Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T14:15:00-04:00,United States,Fed Mester Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-03T16:00:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T07:30:00-04:00,United States,Challenger Job Cuts,challenger job cuts,SEP,55.3K,38.472K,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,SEP/29,207K,215K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,SEP/22,1650K,1663K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T09:15:00-04:00,United States,Fed Quarles Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T10:00:00-04:00,United States,Factory Orders MoM,factory orders,AUG,2.3%,-0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T10:00:00-04:00,United States,Factory Orders ex Transportation,factory orders ex transportation,AUG,0.1%,0.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-04T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,SEP/28,98Bcf,46Bcf,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,AUG,$-53.2B,$-50B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,SEP,134K,270K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,SEP,3.7%,3.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Average Hourly Earnings MoM,average hourly earnings,SEP,0.3%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Average Hourly Earnings YoY,average hourly earnings yoy,SEP,2.8%,2.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Average Weekly Hours,average weekly hours,SEP,34.5,34.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Exports,exports,AUG,$209.43B,$211.08B,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Government Payrolls,government payrolls,SEP,13K,16K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Imports,imports,AUG,$262.67B,$261.1B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Manufacturing Payrolls,manufacturing payrolls,SEP,18K,5K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Nonfarm Payrolls Private,nonfarm payrolls private,SEP,121K,254K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T08:30:00-04:00,United States,Participation Rate,labor force participation rate,SEP,62.7%,62.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T12:30:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T13:00:00-04:00,United States,Baker Hughes Oil Rig Count,crude oil rigs,OCT/05,861,863,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-05T15:00:00-04:00,United States,Consumer Credit Change,consumer credit,AUG,$20.08B,$16.6B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T06:00:00-04:00,United States,NFIB Business Optimism Index,nfib business optimism index,SEP,107.9,108.8,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T08:55:00-04:00,United States,Redbook MoM,redbook index,OCT/06,0.4%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T08:55:00-04:00,United States,Redbook YoY,redbook index,OCT/06,6.5%,5.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T10:00:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T10:00:00-04:00,United States,IBD/TIPP Economic Optimism,economic optimism index,OCT,57.8,55.7,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T11:00:00-04:00,United States,Consumer Inflation Expectations,inflation expectations,SEP,3%,3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,2.220%,2.175%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,2.380%,2.335%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T13:00:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,2.135%,2.105%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T13:00:00-04:00,United States,52-Week Bill Auction,52 week bill yield,,2.580%,2.465%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T21:15:00-04:00,United States,Fed Williams Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-09T22:35:00-04:00,United States,Fed Williams Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,OCT/05,5.05%,4.96%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,OCT/05,-1.7%,0%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,SEP,0.2%,-0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T08:30:00-04:00,United States,Core PPI MoM,core producer prices mom,SEP,0.2%,-0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T08:30:00-04:00,United States,Core PPI YoY,core producer prices yoy,SEP,2.5%,2.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T08:30:00-04:00,United States,PPI YoY,producer prices change,SEP,2.6%,2.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T10:00:00-04:00,United States,Wholesale Inventories MoM,wholesale inventories,AUG,1%,0.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T11:30:00-04:00,United States,3-Year Note Auction,3 year note yield,,2.989%,2.821%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T12:15:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T13:00:00-04:00,United States,10-Year Note Auction,government bond 10y,,3.225%,2.957%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T16:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,OCT/05,9.75M,0.907M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-10T18:00:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,SEP,2.2%,2.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,SEP,2.3%,2.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,SEP,0.1%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,SEP,0.1%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,OCT/06,214K,207K,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,SEP/29,1660K,1656K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,OCT/05,90Bcf,98Bcf,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T11:00:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,OCT/05,5.987M,7.975M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T11:00:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,OCT/05,0.951M,-0.459M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T12:00:00-04:00,United States,Wasde Report,calendar,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-11T13:00:00-04:00,United States,30-Year Bond Auction,30 year bond yield,,3.344%,3.088%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T08:30:00-04:00,United States,Export Prices MoM,export prices mom,SEP,0%,-0.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T08:30:00-04:00,United States,Export Prices YoY,export prices yoy,SEP,2.7%,3.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T08:30:00-04:00,United States,Import Prices MoM,import prices mom,SEP,0.5%,-0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T08:30:00-04:00,United States,Import Prices YoY,import prices yoy,SEP,3.5%,3.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T09:30:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T10:00:00-04:00,United States,Michigan 5 Year Inflation Expectations Prel,michigan 5 year inflation expectations,OCT,2.3%,2.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T10:00:00-04:00,United States,Michigan Consumer Expectations Prel,michigan consumer expectations,OCT,89.1,90.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,OCT,99,100.1,100.4,98,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T10:00:00-04:00,United States,Michigan Current Conditions Prel,michigan current economic conditions,OCT,114.4,115.2,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T10:00:00-04:00,United States,Michigan Inflation Expectations Prel,michigan inflation expectations,OCT,2.8%,2.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T12:30:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-12T13:00:00-04:00,United States,Baker Hughes Oil Rig Count,crude oil rigs,OCT/12,869,861,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,SEP,0.1%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T08:30:00-04:00,United States,NY Empire State Manufacturing Index,ny empire state manufacturing index,OCT,21.10,19,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T08:30:00-04:00,United States,Retail Sales Ex Autos MoM,retail sales ex autos,SEP,-0.1%,0.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T08:30:00-04:00,United States,Retail Sales YoY,retail sales yoy,SEP,4.7%,6.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T10:00:00-04:00,United States,Business Inventories MoM,business inventories,AUG,0.5%,0.7%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,2.270%,2.220%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,2.415%,2.380%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-15T15:00:00-04:00,United States,Monthly Budget Statement,government budget value,SEP,$119B,$-214B,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T08:55:00-04:00,United States,Redbook MoM,redbook index,OCT/13,0.1%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T08:55:00-04:00,United States,Redbook YoY,redbook index,OCT/13,5.8%,6.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T09:15:00-04:00,United States,Industrial Production MoM,industrial production mom,SEP,0.3%,0.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T09:15:00-04:00,United States,Industrial Production YoY,industrial production,SEP,5.1%,4.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T09:15:00-04:00,United States,Capacity Utilization,capacity utilization,SEP,78.1%,78.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T09:15:00-04:00,United States,Manufacturing Production YoY,manufacturing production,SEP,3.5%,3.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T10:00:00-04:00,United States,JOLTs Job Openings,job offers,AUG,7.136M,7.077M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T10:00:00-04:00,United States,NAHB Housing Market Index,nahb housing market index,OCT,68,67,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T11:30:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,2.155%,2.135%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T16:00:00-04:00,United States,Foreign Bond Investment,foreign bond investment,AUG,$63.1B,$18.9B,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T16:00:00-04:00,United States,Net Long-term TIC Flows,net long-term tic flows,AUG,$131.8B,$66.7B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T16:00:00-04:00,United States,Overall Net Capital Flows,capital flows,AUG,$108.2B,$42.7B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T16:15:00-04:00,United States,Fed Daly Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-16T16:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,OCT/12,-2.1M,9.75M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,OCT/12,5.1%,5.05%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,OCT/12,-7.1%,-1.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T08:30:00-04:00,United States,Building Permits,building permits,SEP,1.241M,1.249M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T08:30:00-04:00,United States,Building Permits MoM,building permits mom,SEP,-0.6%,-5.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T08:30:00-04:00,United States,Housing Starts,housing starts,SEP,1.201M,1.268M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T08:30:00-04:00,United States,Housing Starts MoM,housing starts mom,SEP,-5.3%,7.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T10:30:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,OCT/12,6.49M,5.987M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T10:30:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,OCT/12,-2.016M,0.951M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T12:10:00-04:00,United States,Fed Brainard Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-17T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,OCT/13,210K,215K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T08:30:00-04:00,United States,Philadelphia Fed Manufacturing Index,philadelphia fed manufacturing index,OCT,22.2,22.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,OCT/06,1640K,1653K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
